# K, H-K
1.393500000000000050e+01,1.576999999999999957e+00
1.760999999999999943e+01,6.340000000000003411e-01
1.745700000000000074e+01,1.247999999999997556e+00
1.631700000000000017e+01,1.606999999999999318e+00
1.675499999999999901e+01,1.118999999999999773e+00
1.529700000000000060e+01,1.786999999999999034e+00
1.419999999999999929e+01,1.412000000000000810e+00
1.767899999999999849e+01,1.626000000000001222e+00
1.443200000000000038e+01,1.436999999999999389e+00
1.689900000000000091e+01,1.550999999999998380e+00
1.327699999999999925e+01,1.900000000000012790e-02
1.665200000000000102e+01,2.212999999999997414e+00
1.605699999999999861e+01,1.403999999999999915e+00
1.772800000000000153e+01,3.289999999999970726e-01
1.665599999999999881e+01,2.610000000000027853e-01
1.561500000000000021e+01,1.648999999999999133e+00
1.738400000000000034e+01,1.730999999999998096e+00
1.474499999999999922e+01,1.512999999999999901e+00
1.764099999999999824e+01,-9.199999999999874944e-02
1.282699999999999996e+01,1.608999999999999986e+00
1.516000000000000014e+01,8.689999999999997726e-01
1.394299999999999962e+01,1.469000000000001194e+00
1.358600000000000030e+01,1.782000000000000028e+00
1.566200000000000081e+01,1.322000000000000952e+00
1.643299999999999983e+01,2.800000000000011369e-01
1.607100000000000151e+01,1.626999999999998892e+00
1.410500000000000043e+01,1.542999999999999261e+00
1.692899999999999849e+01,1.827000000000001734e+00
1.550699999999999967e+01,1.473000000000000753e+00
1.721499999999999986e+01,1.320000000000000284e+00
1.653600000000000136e+01,1.378999999999997783e+00
1.501600000000000001e+01,1.785999999999999588e+00
1.675199999999999889e+01,1.768000000000000682e+00
1.516499999999999915e+01,1.492000000000000881e+00
1.279599999999999937e+01,1.759999999999999787e+00
1.645599999999999952e+01,1.426000000000001933e+00
1.703500000000000014e+01,1.702999999999999403e+00
1.666499999999999915e+01,1.635999999999999233e+00
1.648100000000000165e+01,1.691999999999996618e+00
1.423199999999999932e+01,1.714999999999999858e+00
1.374399999999999977e+01,2.292999999999999261e+00
1.466600000000000037e+01,3.602000000000000313e+00
1.650199999999999889e+01,1.594000000000001194e+00
1.723999999999999844e+01,1.746999999999999886e+00
1.751800000000000068e+01,2.779999999999986926e-01
1.073900000000000077e+01,5.179999999999989058e-01
1.460200000000000031e+01,1.521999999999998465e+00
1.534299999999999997e+01,2.507000000000001450e+00
1.422000000000000064e+01,1.548999999999999488e+00
1.701800000000000068e+01,1.410999999999997812e+00
1.509800000000000075e+01,2.886000000000001009e+00
1.448000000000000043e+01,1.512999999999999901e+00
1.670799999999999841e+01,1.393000000000000682e+00
1.752799999999999869e+01,1.199000000000001620e+00
1.425699999999999967e+01,1.454000000000000625e+00
1.462899999999999956e+01,1.213000000000000966e+00
1.252399999999999913e+01,1.581000000000001293e+00
1.479100000000000037e+01,1.458999999999999631e+00
1.759900000000000020e+01,1.253000000000000114e+00
1.314400000000000013e+01,1.571999999999999176e+00
1.388700000000000045e+01,1.570999999999999730e+00
1.446100000000000030e+01,1.286999999999999034e+00
1.590900000000000070e+01,1.819000000000000838e+00
1.331000000000000050e+01,7.329999999999987637e-01
1.463400000000000034e+01,1.295999999999999375e+00
1.258200000000000074e+01,1.509999999999999787e+00
1.289400000000000013e+01,2.410000000000000142e+00
1.431199999999999939e+01,1.419000000000000483e+00
1.334900000000000020e+01,1.634000000000000341e+00
1.570299999999999940e+01,6.870000000000011653e-01
1.724099999999999966e+01,1.661999999999999034e+00
1.555199999999999960e+01,1.442000000000000171e+00
1.680300000000000082e+01,3.189999999999990621e-01
1.696000000000000085e+01,1.218999999999997641e+00
